## From Myers et al. Appl. Spectrosc., doi:10.1177/0003702820928358, 2020
wavenum,n,k
5853.526438,1.49190557,0.000355319
5853.044269,1.491901755,0.000355433
5852.562101,1.491897821,0.000355564
5852.079932,1.491894007,0.000355694
5851.597764,1.491890073,0.000355823
5851.115595,1.491886258,0.000355955
5850.633427,1.491882324,0.000356073
5850.151258,1.49187851,0.000356188
5849.66909,1.491874576,0.00035632
5849.186921,1.491870761,0.00035645
5848.704753,1.491866827,0.00035658
5848.222584,1.491863012,0.000356712
5847.740415,1.491859078,0.00035683
5847.258247,1.491855145,0.000356932
5846.776078,1.49185133,0.000357047
5846.29391,1.491847396,0.000357179
5845.811741,1.491843462,0.00035731
5845.329573,1.491839528,0.00035744
5844.847404,1.491835713,0.000357572
5844.365236,1.491831899,0.000357691
5843.883067,1.491827965,0.000357807
5843.400899,1.491824031,0.00035794
5842.91873,1.491820216,0.000358071
5842.436561,1.491816282,0.000358202
5841.954393,1.491812348,0.000358334
5841.472224,1.491808415,0.000358453
5840.990056,1.4918046,0.000358556
5840.507887,1.491800666,0.000358672
5840.025719,1.491796732,0.000358805
5839.54355,1.491792798,0.000358936
5839.061382,1.491788983,0.000359067
5838.579213,1.491785049,0.0003592
5838.097045,1.491781116,0.00035932
5837.614876,1.491777182,0.000359437
5837.132708,1.491773367,0.000359571
5836.650539,1.491769433,0.000359702
5836.16837,1.491765499,0.000359834
5835.686202,1.491761565,0.000359968
5835.204033,1.491757631,0.000360087
5834.721865,1.491753697,0.00036019
5834.239696,1.491749764,0.000360307
5833.757528,1.49174583,0.000360441
5833.275359,1.491742015,0.000360573
5832.793191,1.491738081,0.000360705
5832.311022,1.491734147,0.000360839
5831.828854,1.491730213,0.00036096
5831.346685,1.491726279,0.000361077
5830.864517,1.491722345,0.000361212
5830.382348,1.491718411,0.000361344
5829.900179,1.491714478,0.000361477
5829.418011,1.491710544,0.000361611
5828.935842,1.49170661,0.000361732
5828.453674,1.491702676,0.000361836
5827.971505,1.491698742,0.000361953
5827.489337,1.491694808,0.000362088
5827.007168,1.491690874,0.000362221
5826.525,1.49168694,0.000362354
5826.042831,1.491683006,0.000362489
5825.560663,1.491679072,0.00036261
5825.078494,1.491675019,0.000362729
5824.596326,1.491671085,0.000362864
5824.114157,1.491667152,0.000362997
5823.631988,1.491663218,0.000363131
5823.14982,1.491659284,0.000363266
5822.667651,1.49165535,0.000363387
5822.185483,1.491651416,0.000363492
5821.703314,1.491647482,0.00036361
5821.221146,1.491643429,0.000363746
5820.738977,1.491639495,0.000363879
5820.256809,1.491635561,0.000364013
5819.77464,1.491631627,0.000364149
5819.292472,1.491627574,0.000364271
5818.810303,1.49162364,0.00036439
5818.328134,1.491619706,0.000364527
5817.845966,1.491615772,0.000364661
5817.363797,1.491611719,0.000364795
5816.881629,1.491607785,0.000364931
5816.39946,1.491603851,0.000365054
5815.917292,1.491599917,0.000365159
5815.435123,1.491595864,0.000365278
5814.952955,1.49159193,0.000365414
5814.470786,1.491587997,0.000365549
5813.988618,1.491583943,0.000365684
5813.506449,1.49157989,0.00036582
5813.024281,1.491575956,0.000365943
5812.542112,1.491572022,0.000366063
5812.059943,1.491568089,0.0003662
5811.577775,1.491564035,0.000366336
5811.095606,1.491560102,0.000366471
5810.613438,1.491556168,0.000366608
5810.131269,1.491552115,0.000366731
5809.649101,1.491548181,0.000366837
5809.166932,1.491544128,0.000366956
5808.684764,1.491540194,0.000367094
5808.202595,1.49153614,0.00036723
5807.720427,1.491532207,0.000367365
5807.238258,1.491528153,0.000367503
5806.75609,1.49152422,0.000367627
5806.273921,1.491520166,0.000367748
5805.791752,1.491516233,0.000367885
5805.309584,1.491512179,0.000368022
5804.827415,1.491508126,0.000368158
5804.345247,1.491504192,0.000368296
5803.863078,1.491500139,0.000368417
5803.38091,1.491496086,0.000368541
5802.898741,1.491492033,0.000368679
5802.416573,1.491488099,0.000368816
5801.934404,1.491484165,0.000368952
5801.452236,1.491480112,0.000369091
5800.970067,1.491476059,0.000369212
5800.487898,1.491472125,0.000369319
5800.00573,1.491468072,0.000369443
5799.523561,1.491464019,0.000369582
5799.041393,1.491459966,0.000369719
5798.559224,1.491456032,0.000369856
5798.077056,1.491451979,0.000369995
5797.594887,1.491447926,0.000370117
5797.112719,1.491443873,0.000370241
5796.63055,1.491439939,0.000370381
5796.148382,1.491435885,0.000370518
5795.666213,1.491431832,0.000370656
5795.184045,1.491427779,0.000370795
5794.701876,1.491423845,0.000370917
5794.219707,1.491419792,0.000371025
5793.737539,1.491415739,0.000371149
5793.25537,1.491411686,0.000371289
5792.773202,1.491407633,0.000371427
5792.291033,1.49140358,0.000371565
5791.808865,1.491399527,0.000371705
5791.326696,1.491395474,0.000371828
5790.844528,1.49139142,0.000371953
5790.362359,1.491387367,0.000372093
5789.880191,1.491383314,0.000372232
5789.398022,1.491379261,0.00037237
5788.915854,1.491375327,0.00037251
5788.433685,1.491371274,0.000372633
5787.951516,1.491367221,0.000372742
5787.469348,1.491363168,0.000372867
5786.987179,1.491359115,0.000373008
5786.505011,1.491355062,0.000373147
5786.022842,1.491351008,0.000373285
5785.540674,1.491346955,0.000373426
5785.058505,1.491342902,0.00037355
5784.576337,1.49133873,0.000373677
5784.094168,1.491334677,0.000373818
5783.612,1.491330624,0.000373957
5783.129831,1.491326571,0.000374096
5782.647663,1.491322517,0.000374237
5782.165494,1.491318464,0.000374361
5781.683325,1.491314411,0.00037447
5781.201157,1.491310358,0.000374596
5780.718988,1.491306186,0.000374738
5780.23682,1.491302133,0.000374878
5779.754651,1.49129808,0.000375017
5779.272483,1.491294026,0.000375159
5778.790314,1.491289973,0.000375284
5778.308146,1.49128592,0.000375411
5777.825977,1.491281867,0.000375553
5777.343809,1.491277814,0.000375693
5776.86164,1.491273642,0.000375834
5776.379471,1.491269589,0.000375976
5775.897303,1.491265535,0.0003761
5775.415134,1.491261482,0.00037621
5774.932966,1.49125731,0.000376337
5774.450797,1.491253257,0.00037648
5773.968629,1.491249204,0.00037662
5773.48646,1.491245031,0.000376761
5773.004292,1.491240859,0.000376904
5772.522123,1.491236806,0.00037703
5772.039955,1.491232753,0.000377158
5771.557786,1.4912287,0.0003773
5771.075618,1.491224527,0.000377442
5770.593449,1.491220474,0.000377583
5770.11128,1.491216421,0.000377726
5769.629112,1.491212249,0.000377851
5769.146943,1.491208196,0.000377962
5768.664775,1.491204023,0.00037809
5768.182606,1.49119997,0.000378233
5767.700438,1.491195798,0.000378375
5767.218269,1.491191745,0.000378516
5766.736101,1.491187573,0.00037866
5766.253932,1.491183519,0.000378787
5765.771764,1.491179347,0.000378916
5765.289595,1.491175294,0.000379059
5764.807427,1.491171122,0.000379202
5764.325258,1.491167069,0.000379344
5763.843089,1.491162896,0.000379488
5763.360921,1.491158843,0.000379614
5762.878752,1.491154671,0.000379725
5762.396584,1.491150498,0.000379854
5761.914415,1.491146445,0.000379998
5761.432247,1.491142273,0.000380141
5760.950078,1.491138101,0.000380284
5760.46791,1.491133928,0.000380428
5759.985741,1.491129756,0.000380556
5759.503573,1.491125703,0.000380685
5759.021404,1.491121531,0.00038083
5758.539235,1.491117358,0.000380973
5758.057067,1.491113305,0.000381116
5757.574898,1.491109252,0.000381262
5757.09273,1.49110508,0.000381389
5756.610561,1.491100907,0.000381501
5756.128393,1.491096854,0.00038163
5755.646224,1.491092682,0.000381776
5755.164056,1.49108851,0.000381919
5754.681887,1.491084337,0.000382063
5754.199719,1.491080165,0.000382209
5753.71755,1.491075993,0.000382337
5753.235382,1.49107182,0.000382467
5752.753213,1.491067648,0.000382613
5752.271044,1.491063595,0.000382757
5751.788876,1.491059423,0.000382901
5751.306707,1.49105525,0.000383047
5750.824539,1.491051078,0.000383175
5750.34237,1.491046906,0.000383288
5749.860202,1.491042733,0.000383418
5749.378033,1.491038561,0.000383565
5748.895865,1.491034389,0.000383709
5748.413696,1.491030216,0.000383854
5747.931528,1.491026044,0.000384001
5747.449359,1.491021872,0.000384129
5746.967191,1.491017699,0.000384261
5746.485022,1.491013527,0.000384408
5746.002853,1.491009355,0.000384553
5745.520685,1.491005182,0.000384698
5745.038516,1.49100101,0.000384845
5744.556348,1.490996838,0.000384974
5744.074179,1.490992665,0.000385087
5743.592011,1.490988493,0.000385219
5743.109842,1.490984321,0.000385366
5742.627674,1.490980148,0.000385512
5742.145505,1.490975976,0.000385657
5741.663337,1.490971804,0.000385805
5741.181168,1.490967631,0.000385935
5740.698999,1.490963459,0.000386067
5740.216831,1.490959168,0.000386215
5739.734662,1.490954995,0.000386361
5739.252494,1.490950823,0.000386507
5738.770325,1.490946651,0.000386655
5738.288157,1.490942359,0.000386784
5737.805988,1.490938187,0.000386899
5737.32382,1.490934014,0.000387031
5736.841651,1.490929842,0.00038718
5736.359483,1.490925551,0.000387326
5735.877314,1.490921378,0.000387473
5735.395146,1.490917206,0.000387621
5734.912977,1.490913034,0.000387752
5734.430808,1.490908742,0.000387885
5733.94864,1.49090457,0.000388034
5733.466471,1.490900397,0.000388181
5732.984303,1.490896106,0.000388328
5732.502134,1.490891814,0.000388477
5732.019966,1.490887642,0.000388608
5731.537797,1.49088347,0.000388723
5731.055629,1.490879297,0.000388856
5730.57346,1.490875006,0.000389006
5730.091292,1.490870833,0.000389153
5729.609123,1.490866661,0.000389301
5729.126955,1.49086237,0.00038945
5728.644786,1.490858197,0.000389582
5728.162617,1.490853906,0.000389716
5727.680449,1.490849733,0.000389866
5727.19828,1.490845442,0.000390014
5726.716112,1.49084127,0.000390162
5726.233943,1.490836978,0.000390312
5725.751775,1.490832806,0.000390443
5725.269606,1.490828514,0.000390559
5724.787438,1.490824342,0.000390693
5724.305269,1.49082005,0.000390844
5723.823101,1.490815759,0.000390992
5723.340932,1.490811586,0.000391141
5722.858764,1.490807295,0.000391291
5722.376595,1.490803003,0.000391424
5721.894426,1.490798712,0.000391559
5721.412258,1.49079454,0.00039171
5720.930089,1.490790367,0.000391859
5720.447921,1.490786076,0.000392008
5719.965752,1.490781784,0.000392159
5719.483584,1.490777612,0.000392291
5719.001415,1.49077332,0.000392408
5718.519247,1.490769029,0.000392543
5718.037078,1.490764737,0.000392695
5717.55491,1.490760565,0.000392844
5717.072741,1.490756273,0.000392994
5716.590572,1.490751982,0.000393145
5716.108404,1.49074769,0.000393279
5715.626235,1.490743518,0.000393415
5715.144067,1.490739226,0.000393567
5714.661898,1.490734935,0.000393717
5714.17973,1.490730643,0.000393867
5713.697561,1.490726352,0.000394019
5713.215393,1.49072206,0.000394152
5712.733224,1.490717769,0.000394269
5712.251056,1.490713477,0.000394405
5711.768887,1.490709305,0.000394558
5711.286719,1.490705013,0.000394708
5710.80455,1.490700722,0.000394859
5710.322381,1.49069643,0.000395012
5709.840213,1.490692139,0.000395146
5709.358044,1.490687847,0.000395283
5708.875876,1.490683556,0.000395436
5708.393707,1.490679264,0.000395587
5707.911539,1.490674973,0.000395738
5707.42937,1.490670681,0.000395891
5706.947202,1.49066639,0.000396025
